id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365
15896822,Double room in newly refurbished flat,69018624,Dafina,Kingston upon Thames,51.41003566,-0.306322953,Private room,23,7,1,03/12/2016,0.32,61
4836957,Modern room 25m from Central London,18154504,Anas,Kingston upon Thames,51.41148217,-0.290704075,Private room,50,1,15,07/09/2016,0.67,364
13355982,Lovely double bedroom in Kingston Upon Thames,75741819,Maria,Kingston upon Thames,51.41585101,-0.28649628,Private room,24,1,2,27/07/2016,0.25,0
8928858,Lovely double room,11764739,Pete,Merton,51.42378628,-0.187393956,Private room,30,1,3,20/10/2016,0.3,41
10056569,Wimbledon London with parking,31009579,Karen,Merton,51.41710588,-0.216913574,Entire home/apt,145,2,16,17/01/2017,1.34,63
15925807,Cosy Studio apartment in a very central location,97073455,Yazen,Kensington and Chelsea,51.49408554,-0.192021989,Entire home/apt,75,1,5,29/01/2017,1.43,62
4478596,Single Studio Swiss Cottage #FR1,1914283,Erzsebet,Camden,51.54280437,-0.181479194,Entire home/apt,56,5,3,28/04/2016,0.13,363
9049293,Lovely room inMile End_PATR,24194499,Juh,Tower Hamlets,51.52691234,-0.012214755,Private room,35,1,0,,,365
10913841,"Up to 20% off! Arty 4 bed house, Crouch End",33889201,Tom,Haringey,51.58596675,-0.128176744,Entire home/apt,235,6,0,,,1
8065741,Large BD for 2 near tube,30868653,Rana,Haringey,51.57738313,-0.14479698,Private room,45,5,9,25/06/2016,0.51,347
6950763,London E13 zone 3 Single Room+WIFI,2713883,Roza,Newham,51.53406795,0.024488464,Private room,27,25,3,22/02/2016,0.16,350
